Position,Number,Nationality,Name,Height,Weight,Date of Birth,College,Years,Team
G,33,,"Caldwell, Maya","5' 11"" (1.8m)",160 lb (73kg),1998-12-15,Georgia,3,Atlanta Dream
G,3,,"Canada, Jordin","5' 6"" (1.68m)",135 lb (61kg),1995-08-11,UCLA,7,Atlanta Dream
F,12,,"Coffey, Nia","6' 1"" (1.85m)",182 lb (83kg),1995-06-11,Northwestern,8,Atlanta Dream
G,15,,"Gray, Allisha","6' 0"" (1.83m)",167 lb (76kg),1995-01-12,South Carolina,8,Atlanta Dream
C,42,,"Griner, Brittney","6' 9"" (2.06m)",205 lb (93kg),1990-10-18,Baylor,11,Atlanta Dream
F,00,,"Hillmon, Naz","6' 2"" (1.88m)",190 lb (86kg),2000-04-05,Michigan,3,Atlanta Dream
F,10,,"Howard, Rhyne","6' 2"" (1.88m)",175 lb (79kg),2000-04-29,Kentucky,3,Atlanta Dream
C,24,,"Jones, Brionna","6' 3"" (1.91m)",215 lb (98kg),1995-12-18,Maryland,8,Atlanta Dream
G,8,,"Smalls, Kamiah","5' 10"" (1.78m)",,1998-04-17,James Madison,2,Atlanta Dream
F,5,,"Thierry, Taylor","6' 1"" (1.85m)",,2003-01-08,Ohio State,R,Atlanta Dream
G,2,,"Paopao, Te-Hina","5' 9"" (1.75m)",,2002-08-21,South Carolina,R,Atlanta Dream
G,32,,"Walker-Kimbrough, Shatori","5' 9"" (1.75m)",140 lb (64kg),1995-05-18,Maryland,8,Atlanta Dream
G,–,,"Borlase, Isobel (DP)","5' 11"" (1.8m)",,2004-09-12,Australia,–,Atlanta Dream
F/C,–,,"Cubaj, Lorela (FA)","6' 4"" (1.93m)",200 lb (91kg),1999-01-08,Georgia Tech,3,Atlanta Dream
F,–,,"Puoch, Nyadiew (DP)","6' 3"" (1.91m)",,2004-06-23,Australia,–,Atlanta Dream
G,–,,"Villa, Matilde (DP)","5' 7"" (1.7m)",,2004-12-09,Italy,–,Atlanta Dream
G,–,,"Winterburn, Holly (S)","5' 11"" (1.8m)",,2000-10-01,Oregon / East London,–,Atlanta Dream
G/F,9,,"Allen, Rebecca","6' 2"" (1.88m)",162 lb (73kg),1992-11-06,Australia,9,Chicago Sky
G,7,,"Atkins, Ariel","5' 8"" (1.73m)",167 lb (76kg),1996-07-30,Texas,7,Chicago Sky
G,24,,"Banham, Rachel","5' 9"" (1.75m)",175 lb (79kg),1993-07-15,Minnesota,9,Chicago Sky
C,10,,"Cardoso, Kamilla","6' 7"" (2.01m)",215 lb (98kg),2001-04-30,South Carolina,1,Chicago Sky
G,11,,"Nurse, Kia","6' 0"" (1.83m)",181 lb (82kg),1996-02-22,Connecticut,6,Chicago Sky
F,12,,"Onyenwere, Michaela","6' 0"" (1.83m)",178 lb (81kg),1999-08-10,UCLA,4,Chicago Sky
F,5,,"Reese, Angel","6' 3"" (1.91m)",165 lb (75kg),2002-05-06,LSU,1,Chicago Sky
G,,,"Uzun, Sevgi","5' 10"" (1.78m)",141 lb (64kg),1997-11-25,Turkey,1,Chicago Sky
G,22,,"Vandersloot, Courtney","5' 8"" (1.73m)",137 lb (62kg),1989-02-08,Gonzaga,14,Chicago Sky
G,2,,"Van Lith, Hailey","5' 9"" (1.75m)",155 lb (70kg),2001-09-09,TCU,R,Chicago Sky
F,21,,"Westbeld, Maddy","6' 3"" (1.91m)",,2002-02-10,Notre Dame,R,Chicago Sky
C,1,,"Williams, Elizabeth","6' 3"" (1.91m)",200 lb (91kg),1993-06-23,Duke,10,Chicago Sky
G,–,,"Coulibaly, Aicha (DP)","6' 0"" (1.83m)",,2001-10-18,Texas A&M,–,Chicago Sky
F,–,,"Sivka, Ajša (DP)","6' 4"" (1.93m)",,2005-11-23,Slovenia,–,Chicago Sky
G,15,,"Allen, Lindsay","5' 8"" (1.73m)",145 lb (66kg),1995-03-20,Notre Dame,7,Connecticut Sun
C,31,,"Charles, Tina","6' 4"" (1.93m)",192 lb (87kg),1988-12-05,Connecticut,13,Connecticut Sun
G,14,,"Hartley, Bria","5' 9"" (1.75m)",,1992-09-30,Connecticut,9,Connecticut Sun
G,47,,"Lacan, Leïla","5' 11"" (1.8m)",,2004-06-02,France,R,Connecticut Sun
G,3,,"Mabrey, Marina","5' 11"" (1.8m)",170 lb (77kg),1996-09-14,Notre Dame,6,Connecticut Sun
F/C,13,,"Marshall, Rayah","6' 4"" (1.93m)",,2003-11-15,USC,R,Connecticut Sun
F,24,,"Morrow, Aneesah","6' 1"" (1.85m)",,2003-02-02,LSU,R,Connecticut Sun
C,10,,"Nelson-Ododa, Olivia","6' 5"" (1.96m)",173 lb (78kg),2000-08-17,Connecticut,3,Connecticut Sun
G/F,7,,"Peters, Haley","6' 3"" (1.91m)",178 lb (81kg),2002-09-17,Duke,3,Connecticut Sun
G,22,,"Rivers, Saniya","6' 1"" (1.85m)",,2003-03-04,NC State,R,Connecticut Sun
G,4,,"Sheldon, Jacy","5' 10"" (1.78m)",140 lb (64kg),2000-08-23,Ohio State,1,Connecticut Sun
G,28,,"Touré, Mamignan","6' 0"" (1.83m)",,1994-12-19,France,R,Connecticut Sun
F,55,,"Bibby, Chloe","6' 2"" (1.88m)",194 lb (88kg),1998-06-15,Maryland,R,Indiana Fever
F/C,7,,"Boston, Aliyah","6' 5"" (1.96m)",220 lb (100kg),2001-12-11,South Carolina,2,Indiana Fever
G,22,,"Clark, Caitlin","6' 0"" (1.83m)",157 lb (71kg),2002-01-22,Iowa,1,Indiana Fever
G,51,,"Colson, Sydney","5' 8"" (1.73m)",137 lb (62kg),1989-08-06,Texas A&M,10,Indiana Fever
G,8,,"Cunningham, Sophie","6' 1"" (1.85m)",165 lb (75kg),1996-08-16,Missouri,6,Indiana Fever
F/C,12,,"Dantas, Damiris","6' 4"" (1.93m)",214 lb (97kg),1992-11-17,Brazil,9,Indiana Fever
F,6,,"Howard, Natasha","6' 3"" (1.91m)",172 lb (78kg),1991-09-02,Florida State,11,Indiana Fever
G,10,,"Hull, Lexie","6' 1"" (1.85m)",155 lb (70kg),1999-09-13,Stanford,3,Indiana Fever
G,15,,"McDonald, Aari","5' 6"" (1.68m)",141 lb (64kg),1998-08-20,Arizona,4,Indiana Fever
G,0,,"Mitchell, Kelsey","5' 8"" (1.73m)",155 lb (70kg),1995-11-12,Ohio State,7,Indiana Fever
F/C,21,,"Timpson, Makayla","6' 2"" (1.88m)",173 lb (78kg),2002-09-20,Florida State,R,Indiana Fever
F/C,11,,"Turner, Brianna","6' 3"" (1.91m)",175 lb (79kg),1996-07-05,Notre Dame,6,Indiana Fever
G,–,,"Wallace, Kristy (S)","5' 11"" (1.8m)",157 lb (71kg),1996-01-03,Baylor,3,Indiana Fever
