video_id,comment_id,author,author_channel_url,like_count,published_at,updated_at,processed_text,channel,predicted_language,confidence_score
hNa_-1d_0tA,UgyCrwPmPQdALkZe_3R4AaABAg,@Videogenius7,http://www.youtube.com/@Videogenius7,0,2011-03-25T23:08:15Z,1970-01-01T00:00:00Z,"Hey fellow Gaga fans! I hate to bug but there's this thing I'd like u to help me with if you have a moment to spare (and have facebook)! I entered this contest that I want to win so bad and put a lot of work in to it but I dont have many fb friends and I need ppl to vote for me! I need help wherever I can get it and if you vote you could win a free camera! ^^ just Google sony/facebook click the first link, then hit ""vote now"" and  vote for Lisa Zoria!! I hope you like my trailer, THANK YOU!!!",Talks at Google,en,0.9872608184814452
r-8KV_GurLY,UgwD-ennK93YIx9Pn1V4AaABAg,@tomhermens7698,http://www.youtube.com/@tomhermens7698,1,2023-03-21T18:15:45Z,2023-03-21T18:28:35Z,"Americans are still violent, even today, guns everywhere then, guns everywhere now. Europeans don't have enough land to expand, therefore they'll try and  conquer it. Not with violence but by war.Look at the violence in the US during  slavery and their insane civil war",Talks at Google,en,0.9385485649108888
dieRrAK9rfM,Ugz74E1SqCf0kxYOCEh4AaABAg,@sampowellmusic,http://www.youtube.com/@sampowellmusic,0,2022-06-22T21:09:20Z,2022-06-22T21:09:20Z,funny guy,Talks at Google,en,0.9814729690551758
9hDDwBEobtk,Ugz2S5DwQuFEsrLduzF4AaABAg.964RKmWVeED9G6B53TkQaW,@georgeelmerdenbrough6906,http://www.youtube.com/@georgeelmerdenbrough6906,0,2020-11-16T02:52:31Z,2020-11-16T02:52:31Z,I would think it obvious,Talks at Google,en,0.9938515424728394
HyVvjAdbaaQ,Ugznw2FRnf8rlIV4-Q14AaABAg,@deankostas7214,http://www.youtube.com/@deankostas7214,1,2023-08-15T04:09:56Z,2023-08-15T04:58:41Z,"Making things complicated are among human faults; and this interview is no comedy of errors; but there are plenty to go around? Persons resort to complicated rationales to defend their own desires; this was certainly the case here?  Matthew Vines, gay/homosexual caims to have been raised fundamentalist.  He says, He can can be a very good Christian, fruitful in God.  This is in direct conflict w the books of Romans , and Corinthians in Bible.  Both list those persons committing  homo sins, among others. definately not being in the hereafter. Matthew's father, apparently, did not know enough scripture, common enough for a reader, to advise him on this?  This likely gave the polite priest more assurance in the nec of Catholics to manage and interpret the Word for their parishiners?  This had been questioned by Martin Luther and beginning of protestant denominations to eliminate Vatican absolute authority and error in some teachings and practices. Gays claim they are just recipients of a nature bestowed by God; and therefore not their fault? Then the same could be claimed by those w any other desire or lust of the sinful nature, as they say?  Why not that of a person w the desire to rob a bank, or commit murder!  Hardly a pass in a crt of law?...Lib dem laws beginning in the 60s, and increasing lib society w their own sinful nature has come to agree as modern toleration, instead of willful rebellion to.commands and choice of the Creator, incl sex change, etc.,? Also ignored by all parties is the all important fact that of many successful accts and change as a result of counseling, just as that for any other impulse of the ""old sinful nature?"" This has naturally been suppressd by majority of society, like former Pres Obama, claiming the Constitution is outdated.  Gov DeSantis in Fl, in contrast, is passing laws and making changes to bring this state in line w the original intent of the Constitution, based on the principles of Judeo--Christianity, and especially his efforts to protect moral rights of children.  He may have more actual help than leftists, humanists would like to admit?😊",Talks at Google,en,0.9404520988464355
ABBBUgy1--o,Ugx1rJ1ExzUi__dl38l4AaABAg,@andreasunny100,http://www.youtube.com/@andreasunny100,0,2012-09-27T06:59:41Z,1970-01-01T00:00:00Z,I strongly recommend you to like it and subscribe it,Talks at Google,en,0.9937962293624878
IA4tE3_2qmI,UgxpA3XXe_pICkapoOR4AaABAg,@roberthurd328,http://www.youtube.com/@roberthurd328,1,2023-02-24T22:08:05Z,2023-02-24T22:08:05Z,I would like to take that test where the military has a brain scan thing. Because I'm a victim of the Love Canal 71. I've been biologically altered just enough where they know there's a difference in my hearing and vision and I wonder how it would coralie with my handicaps and I have a history of traumatic brain injury on top of all of that supposedly Todd's syndrome on top of being spectral Asperger's hadd I wonder what the engine looks like under the hood with that one,Talks at Google,en,0.9753961563110352
YkNmxJh_5WE,UgyQovo37w9YyXUYlGh4AaABAg,@edwardardon8689,http://www.youtube.com/@edwardardon8689,0,2021-05-21T12:18:24Z,2021-05-21T12:18:24Z,"The callous margin usually cause because commission alternatively occur in a real seaplane. wasteful, venomous tower",Talks at Google,en,0.9584667086601256
FGQTcQhL08A,UgjxvYh-VxRVeHgCoAEC,@worddunlap,http://www.youtube.com/@worddunlap,0,2016-09-04T16:52:50Z,2016-09-04T16:52:50Z,I went on a couple thousand mile hike when I was 19 thinking I would just take it easy and camp lots. I ended up driving myself like a mad man and finishing in mind boggling time. I never talk about it much because it sucked to find out I am a slave driver. Now I just don't plan...,Talks at Google,en,0.9935759902000428
0VyH1laOd2M,Ugy6trMxQF2v5FpkYcl4AaABAg,@sharonlujan9497,http://www.youtube.com/@sharonlujan9497,0,2023-04-04T01:36:33Z,2023-04-04T01:36:33Z,"I like when you say its a nuero circuit problem,,,. yes this mindfullness does help a lot",Talks at Google,en,0.9922226071357728
