video_id,comment_id,author,author_channel_url,like_count,published_at,updated_at,processed_text,channel,predicted_language,confidence_score
prPLAxYF1bU,UgzmHAPlguetM9HFhaB4AaABAg,@B_knows_A_R_D-xh5lo,http://www.youtube.com/@B_knows_A_R_D-xh5lo,0,2024-07-26 08:00:43+00:00,2024-07-26T08:00:43Z,refreshing,PyData,en,0.9867847561836244
CtBdUd2LWLk,Ugzn-Lc_8xrTSrQMcsB4AaABAg,@not_a_human_being,http://www.youtube.com/@not_a_human_being,0,2024-07-25 23:24:16+00:00,2024-07-25T23:24:16Z,"Wow, I'm sure there are good reasons to do it this way - but this looks CRAZY over-engineered. I definitely do not want any mentions of Kubernetes in my python code.",PyData,en,0.9925290942192078
66ndJeFeaXw,UgyiMxWfEWiPaASq-m14AaABAg,@user-yj3mf1dk7b,http://www.youtube.com/@user-yj3mf1dk7b,0,2024-07-25 23:25:27+00:00,2024-07-25T23:28:20Z,Metrics cool. Hearing stories is bad.1 result per page distracts... everyone forget immediately what results were 2 pages ago.,PyData,en,0.9941768646240234
66ndJeFeaXw,UgwOqZQUq4g-vClgo8x4AaABAg,@titfortat4405,http://www.youtube.com/@titfortat4405,0,2024-07-25 02:12:04+00:00,2024-07-25T02:12:04Z,Polars is my favorite,PyData,en,0.9935105443000792
4_4xYfMITUg,UgzJqV_SfDlP2d-4oXx4AaABAg,@YaserAlraddadi,http://www.youtube.com/@YaserAlraddadi,0,2024-07-24 22:53:03+00:00,2024-07-24T23:11:49Z,Thanks Marco for adding a great support of timezone in polars. 🙏,PyData,en,0.9649458527565002
q5gXW9EKxcc,UgwSmEhZGNSaWiW43zZ4AaABAg,@norbertofcogonzalez3015,http://www.youtube.com/@norbertofcogonzalez3015,0,2024-07-14 11:18:37+00:00,2024-07-14T11:18:37Z,"Hola, quería saber más sobre el tema de participar en la calidad de los datos abiertos que se habla en la hora 1:15 más o menos. Gracias!",PyData,es,0.9932261109352112
lVrd5a8AOi4,UgzR59psu4fDtdqzxGR4AaABAg,@AJyep,http://www.youtube.com/@AJyep,0,2024-06-26 03:59:54+00:00,2024-06-26T03:59:54Z,Thanks for the thoughtful and useful presentation!,PyData,en,0.9930463433265686
Knth0LhQnC0,Ugx6Kcm9aC-3AT-EtrB4AaABAg,@tuan_lk,http://www.youtube.com/@tuan_lk,0,2024-07-17 08:31:47+00:00,2024-07-17T08:31:47Z,Does anyone know his Vim config? Which plugins did he use?,PyData,en,0.96172833442688
Knth0LhQnC0,UgzuokVN7Eom_Oa2Ynp4AaABAg,@TechTalksWeekly,http://www.youtube.com/@TechTalksWeekly,2,2024-06-29 16:45:49+00:00,2024-06-29T16:45:49Z,This talk has been featured in the last issue of Tech Talks Weekly newsletter 🎉 Congrats James!,PyData,en,0.9561787843704224
yIDBsHwTaa8,Ugyu1YntfMbIv-udo-Z4AaABAg,@ant1jjj,http://www.youtube.com/@ant1jjj,2,2024-06-27 10:25:12+00:00,2024-06-27T10:25:12Z,It looks like the screen recording is de-synched with presenter's video (and sound).Or I am the only one?@PyData🤔,PyData,en,0.9914335012435912
